,atomic_number,atomic_volume,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,group_id,lattice_constant,melting_point,period,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_pyykko,en_pauling,atomic_weight,atomic_radius_rahm,valence,ionenergies,0,1,2,3,4,5,6,7,8,9,10,block
0,-1.7141016101436075,-0.3619528776520014,-1.364671037310584,-1.1464676967852405,0.135667980466911,-1.4032518864149004,-1.1847665799394305,-1.7152691934817954,-0.4355175569355037,-1.3742064586105838,-2.5233790560407523,8.836616281803742,-0.7207008249534296,-2.939820875391007,-3.001372817080204,0.760635720736473,-1.6082248407018405,-2.7633159993840626,-1.220107658459851,1.623499943087334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,-1.6780152604563736,1.3035639205255738,-1.351130834948364,-1.1843920095146838,-7.837211204761058,-1.4074937906209242,0.0,1.6236135877232258,-0.5553826677741825,-1.3885157117891336,-2.5233790560407523,2.9539806724828854,-0.7210751163315967,-2.0976999164566426,-2.6109503368096085,0.0,-1.566888229006552,-3.37809777444981,-0.8965431965478463,4.85995793749719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,-1.6419289107691397,-0.456049871899322,-1.2823636654709476,0.791485252495273,0.08259937475781089,-0.6460102103357027,-0.9620842086221322,-1.7152691934817954,-0.6086560503691507,-0.7829034145524116,-1.8686644901490976,1.8571196440559214,0.35292544567128037,-0.9187305739485323,-0.18475349512804973,-1.2950829198778666,-1.5263412446258176,-0.7345361416670955,-1.220107658459851,-0.7935364984762022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,-1.6058425610819058,-1.2182355253026191,-1.0488751365476263,-0.7429488858690497,-1.0938116280754997,0.18280845127814707,-0.21365301472482912,-1.518864323999147,-1.4077567892936762,0.30980418785949115,-1.8686644901490976,0.7822087480400912,1.8272528403496464,-1.7327808342517514,-1.0492604157272258,-0.30092390515453854,-1.4977374341140237,-0.7652752304203837,-0.8965431965478463,0.3642138612261788,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,-1.5697562113946721,-1.2558743230015472,-0.9614502079096705,-0.9522795910889427,-0.049277353865409816,1.1892311118092502,0.7010069958427977,0.6415892403099842,2.8807505096012767,1.4295635101012862,-1.8686644901490976,0.26638063637844056,-0.3753567613385148,-0.6380235876370773,-1.5233448560558063,0.4910332760657397,-1.472920894522276,-1.1956224729664078,-0.5729787346358416,0.06242592048347468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
5,-1.5336698617074382,-1.1900064270284227,-0.9774425729044186,-1.063987392018352,0.3336526328708668,0.0,0.0,0.8379941097926326,-0.5553826677741825,2.795845188022537,-1.8686644901490976,0.06366470764032006,-0.7028299976263687,-1.2555789575222782,-1.8022180562490888,1.3503910684537008,-1.45634264116973,-1.6567088042657174,-0.24941427272383687,0.9348733926108466,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,-1.4975835120202043,-0.06084249606057528,-1.233675798709159,-1.1113417858906014,-0.7040197450300917,0.0,0.0,1.0343989792752808,-0.2430674623111807,-1.3202125844422123,-1.8686644901490976,0.27606449369714386,-0.7226737845908864,-1.6766394369894604,-1.9137673363264018,2.1760485552578213,-1.4287904399276967,-1.9948387805518784,0.07415018918816785,1.8990803852265408,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,-1.4614971623329704,-0.3713625770767334,-1.1730825046735027,-1.1368403056679668,0.41121907374154626,0.0,0.0,1.2308038487579291,1.615507672970778,-1.329514694663184,-1.8686644901490976,0.1979478897123051,-0.7226610967475587,-1.7608515328828969,-2.136865896481028,2.8500546669346534,-1.4012934535178119,-2.2407514905781776,0.39771465110017257,1.6292784084105467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,-1.4254108126457368,-0.07966189491003933,-1.1803679153933324,-1.1557820632168665,1.1674450289911262,-1.374238085316418,-1.15320719590492,1.4272087182405775,0.0,-1.3309061764041301,-1.8686644901490976,0.13661661891653853,-0.7226484089042311,-1.9012050260386244,-2.1089785764616997,3.759962917698377,-1.359890567970233,-2.4866642006044763,0.7212791130121773,2.7498550724889474,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
9,-1.3893244629585029,-0.10789099318423559,-1.163309392732268,-1.1688822313062948,-0.1583111087665205,-1.3989482069049055,0.0,1.6236135877232258,0.01730619512172712,-1.3369651480792741,-1.8686644901490976,0.2689630048973975,-0.7223806954047985,-1.704710135620606,-2.025316616403715,0.0,-1.3435842913271463,-2.7018378218774877,1.044843574924182,3.9696711613487596,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
